Company Name,IDBB,CRI Company ID,Exchange Country,Domicile Country,Bloomberg Industry Code,Bloomberg Industry,12-2019,1-2020,2-2020,3-2020,4-2020,5-2020,6-2020,7-2020,8-2020,9-2020,10-2020,11-2020,12-2020
Lynas Corp Ltd,135883,5750,Australia,Malaysia,10002,Basic Materials,9.803005977405714,20.740211291484506,44.422613291306725,89.962188204666,43.03735118997004,16.577644710334237,6.868713398980195,3.645220724350704,2.183692837535274,1.3511400479556968,1.1593485157395624,1.0530427496434807,0.9830635557141236
United Overseas Australia Ltd,178588,11035,Australia,Malaysia,10008,Financial,1.0812555431926791,1.3764251233444451,1.8632423841961256,2.5079582184400437,4.426186663313888,8.166512821660012,14.481889299474323,10.596962339340472,7.2253345973582315,5.135659164904265,4.406374094926958,3.8160710573816266,3.3070482460221697
OM Holdings Ltd,304456,15217,Australia,Singapore,10002,Basic Materials,77.61168491551453,151.21444087944352,345.36929601396577,701.3488013589333,355.5439471787849,149.98796214144122,66.62715237385608,39.435692740204736,26.60695843774676,19.288002769659666,19.693087435906694,21.501928068973307,24.03077626377227
8I Holdings Ltd,43653192,190529,Australia,Singapore,10008,Financial,23.18546496308965,24.86746097498576,51.368563567445676,43.83800427732851,134.16191606394796,139.29351630720532,528.2194628785192,167.09306776086245,279.9466088371008,73.09665162306948,196.17774993262498,49.527475587386775,185.0431530377596
Timah Resources Ltd,20449816,192499,Australia,Malaysia,10007,Energy,12.508485682919964,29.49548138692391,53.43354193611605,92.06470283769188,66.1731246635334,44.10957470518616,30.400429122705393,22.1012782453983,16.53754165278875,12.594566257759544,12.266786044299254,12.471199629012846,12.731538315961116
8VIC Holdings Ltd,45718102,193070,Australia,Singapore,10003,Communications,68.08113129000229,26.406395105590157,45.68491478832855,74.31184325376844,93.72922109461126,111.69676351595214,129.0617555490176,80.86810994742073,49.956680406211255,31.682808445878948,26.81193542344767,23.462980251336493,21.091553531858597
Roolife Group Ltd,51312628,194893,Australia,Singapore,10013,Technology,10.932668467645499,19.096215362350947,25.274216550953263,38.00363299075156,49.45009317826168,61.92936789873994,76.44473580661102,58.770566969906945,44.762360158093166,35.323065272312824,32.65759161082468,29.889539869004782,27.69924907256192
De.Mem Ltd,52656822,196575,Australia,Singapore,10011,Industrial,13.592541040399658,23.813038126196965,45.65024812014018,88.33231701904997,82.76789487971573,73.50844365476853,66.3857895200789,48.53413762395611,34.977344005624865,25.598222714542803,24.276871567007912,23.444789399271844,22.995071828761724
Media Chinese International Ltd,116472,2580,Hong Kong,Malaysia,10003,Communications,8.555836703186243,9.94409101491476,12.504790148348635,15.38658971664228,17.972873733577828,21.120661212727878,23.06752614178677,22.611313259963524,21.23967852897605,20.49540557949417,20.75059349251696,20.983551359650175,21.4433333074688
NagaCorp Ltd,8262174,21063,Hong Kong,Cambodia,10004,Consumer Cyclical,0.08174390484482444,0.0769571760005573,0.08432582166138665,0.09026606120378387,0.04416009555322636,0.01987083168571902,0.009359187170575137,0.004967313407527557,0.002703148763113071,0.0015069312375747118,0.0010709401304261155,0.0007556218942627896,0.0005267949361752828
Technovator International Ltd,23801316,125327,Hong Kong,Singapore,10011,Industrial,50.025329870876654,68.56542434962743,100.39356458907201,141.55181821900558,84.84711439820184,44.050691664087196,24.414322667886825,16.787515848378195,12.901459343652496,10.388904622855536,10.688760150422459,11.66068891332522,12.931431495328903
CAA Resources Ltd,35869203,132017,Hong Kong,Malaysia,10004,Consumer Cyclical,180.07639551438123,214.58708168658708,245.99854933508976,256.0618025050645,139.0453583428926,65.50456399741196,32.52207248515607,17.348345611673793,9.699813937258503,6.6663950452181115,5.852576777766103,6.275749527834314,7.2023861813223755
IGG Inc,37428214,163345,Hong Kong,Singapore,10013,Technology,2.0291202663196515,2.085093675984826,2.083150458506826,1.9305924035633257,1.9984025870221882,2.1950260051029105,2.464126940267471,2.298241910560194,2.085243276808551,1.9345041063605148,1.88369494730052,1.809573990787756,1.7425961082854864
Kingbo Strike Ltd,10722233,163847,Hong Kong,Singapore,10007,Energy,2.4899525868764747,2.8277493257278508,3.3931862303178657,4.159801662671149,3.0744927502522255,2.1047312489147036,1.4360176107278266,1.2369802521474202,1.136994830485496,1.08415887218449,1.1360211131621931,1.1902796347588707,1.2461515628324389
KPM Holding Ltd,46304657,192021,Hong Kong,Singapore,10011,Industrial,9.810409733612937,17.94056518706532,28.436518112924794,46.18225926162345,29.126300522158637,15.905616477829064,8.784587901666464,6.178165784813866,4.732777933559407,3.9117348430257475,3.908568021125025,4.196737636313275,4.428656586982856
